auction_test
TEMP	EMBEDDING		GENERATOR	WEAK	STRONG	EMB	TIME
0.8	granite-embedding	deepseek-coder-v2	50.0%	50.0%	50.0%	11.09
1.0	granite-embedding	deepseek-coder-v2	0.0%	0.0%	50.0%	11.37
cooking
TEMP	EMBEDDING		GENERATOR	WEAK	STRONG	EMB	TIME
0.0	nomic-embed-text	gemma		26.09%	13.04%	65.22%	12.62
0.2	nomic-embed-text	gemma		26.09%	8.7%	65.22%	12.13
0.4	nomic-embed-text	gemma		26.09%	13.04%	65.22%	12.2
0.6	nomic-embed-text	gemma		21.74%	13.04%	65.22%	12.16
0.8	nomic-embed-text	gemma		26.09%	17.39%	65.22%	12.18
1.0	nomic-embed-text	gemma		26.09%	8.7%	65.22%	12.16
0.0	nomic-embed-text	gemma2		43.48%	0.0%	65.22%	12.81
0.2	nomic-embed-text	gemma2		43.48%	0.0%	65.22%	12.34
0.4	nomic-embed-text	gemma2		39.13%	0.0%	65.22%	12.34
0.6	nomic-embed-text	gemma2		43.48%	0.0%	65.22%	12.29
0.8	nomic-embed-text	gemma2		43.48%	0.0%	65.22%	12.42
1.0	nomic-embed-text	gemma2		39.13%	0.0%	65.22%	12.32
0.0	nomic-embed-text	codegemma	39.13%	34.78%	65.22%	12.67
0.2	nomic-embed-text	codegemma	39.13%	34.78%	65.22%	12.25
0.4	nomic-embed-text	codegemma	43.48%	34.78%	65.22%	12.21
0.6	nomic-embed-text	codegemma	43.48%	34.78%	65.22%	12.22
0.8	nomic-embed-text	codegemma	39.13%	30.43%	65.22%	12.14
1.0	nomic-embed-text	codegemma	34.78%	30.43%	65.22%	12.04
0.0	nomic-embed-text	llama3.1	34.78%	34.78%	65.22%	10.94
0.2	nomic-embed-text	llama3.1	26.09%	26.09%	65.22%	10.46
0.4	nomic-embed-text	llama3.1	26.09%	26.09%	65.22%	10.44
0.6	nomic-embed-text	llama3.1	21.74%	21.74%	65.22%	10.46
0.8	nomic-embed-text	llama3.1	21.74%	21.74%	65.22%	10.31
1.0	nomic-embed-text	llama3.1	21.74%	21.74%	65.22%	10.39
0.0	nomic-embed-text	llama3.2	4.35%	4.35%	65.22%	0.66
0.2	nomic-embed-text	llama3.2	8.7%	8.7%	65.22%	0.38
0.4	nomic-embed-text	llama3.2	8.7%	8.7%	65.22%	0.38
0.6	nomic-embed-text	llama3.2	4.35%	4.35%	65.22%	0.38
0.8	nomic-embed-text	llama3.2	26.09%	26.09%	65.22%	0.38
1.0	nomic-embed-text	llama3.2	8.7%	8.7%	65.22%	0.42
0.0	nomic-embed-text	codellama	8.7%	0.0%	65.22%	10.04
0.2	nomic-embed-text	codellama	8.7%	0.0%	65.22%	9.64
0.4	nomic-embed-text	codellama	8.7%	0.0%	65.22%	9.63
0.6	nomic-embed-text	codellama	4.35%	0.0%	65.22%	9.7
0.8	nomic-embed-text	codellama	8.7%	0.0%	65.22%	9.67
1.0	nomic-embed-text	codellama	4.35%	0.0%	65.22%	9.69
