auction_test
TEMP	EMBEDDING		GENERATOR	WEAK	STRONG	EMB	TIME
0.0	nomic-embed-text	deepseek-coder-v2	0.0%	0.0%	50.0%	21.07
0.2	nomic-embed-text	deepseek-coder-v2	0.0%	0.0%	50.0%	11.09
0.4	nomic-embed-text	deepseek-coder-v2	0.0%	0.0%	50.0%	11.12
0.6	nomic-embed-text	deepseek-coder-v2	0.0%	0.0%	50.0%	11.24
0.8	nomic-embed-text	deepseek-coder-v2	0.0%	0.0%	50.0%	11.13
1.0	nomic-embed-text	deepseek-coder-v2	0.0%	0.0%	50.0%	11.04
0.0	mxbai-embed-large	gemma		0.0%	0.0%	0.0%	18.6
0.2	mxbai-embed-large	gemma		0.0%	0.0%	0.0%	13.31
0.4	mxbai-embed-large	gemma		0.0%	0.0%	0.0%	13.33
0.6	mxbai-embed-large	gemma		0.0%	0.0%	0.0%	13.32
0.8	mxbai-embed-large	gemma		0.0%	0.0%	0.0%	13.32
1.0	mxbai-embed-large	gemma		0.0%	0.0%	0.0%	13.33
0.0	mxbai-embed-large	gemma2		100.0%	0.0%	0.0%	18.94
0.2	mxbai-embed-large	gemma2		100.0%	0.0%	0.0%	13.16
0.4	mxbai-embed-large	gemma2		100.0%	0.0%	0.0%	13.19
0.6	mxbai-embed-large	gemma2		100.0%	0.0%	0.0%	13.18
0.8	mxbai-embed-large	gemma2		100.0%	0.0%	0.0%	13.2
1.0	mxbai-embed-large	gemma2		100.0%	0.0%	0.0%	13.22
0.0	mxbai-embed-large	codegemma	0.0%	0.0%	0.0%	18.46
0.2	mxbai-embed-large	codegemma	0.0%	0.0%	0.0%	13.26
0.4	mxbai-embed-large	codegemma	0.0%	0.0%	0.0%	13.3
0.6	mxbai-embed-large	codegemma	0.0%	0.0%	0.0%	13.3
0.8	mxbai-embed-large	codegemma	0.0%	0.0%	0.0%	13.31
1.0	mxbai-embed-large	codegemma	0.0%	0.0%	0.0%	13.28
0.0	mxbai-embed-large	llama3.1	100.0%	100.0%	0.0%	16.22
0.2	mxbai-embed-large	llama3.1	100.0%	100.0%	0.0%	10.5
0.4	mxbai-embed-large	llama3.1	50.0%	50.0%	0.0%	10.46
0.6	mxbai-embed-large	llama3.1	50.0%	50.0%	0.0%	10.46
0.8	mxbai-embed-large	llama3.1	0.0%	0.0%	0.0%	10.44
1.0	mxbai-embed-large	llama3.1	0.0%	0.0%	0.0%	10.49
0.0	mxbai-embed-large	llama3.2	0.0%	0.0%	0.0%	3.88
0.2	mxbai-embed-large	llama3.2	0.0%	0.0%	0.0%	0.51
0.4	mxbai-embed-large	llama3.2	0.0%	0.0%	0.0%	0.5
0.6	mxbai-embed-large	llama3.2	0.0%	0.0%	0.0%	0.46
0.8	mxbai-embed-large	llama3.2	0.0%	0.0%	0.0%	0.46
1.0	mxbai-embed-large	llama3.2	0.0%	0.0%	0.0%	0.42
0.0	mxbai-embed-large	codellama	0.0%	0.0%	0.0%	14.32
0.2	mxbai-embed-large	codellama	0.0%	0.0%	0.0%	9.95
0.4	mxbai-embed-large	codellama	0.0%	0.0%	0.0%	10.01
0.6	mxbai-embed-large	codellama	0.0%	0.0%	0.0%	9.89
